study;year;country;center;matching;stars;robins;post2018;start;end;nexp;mexp;sexp;nctrl;mctrl;sctrl
Lee et al. 2011;2011;Korea;Single-center studies;Studies without patient matching;6;Serious Risk of Bias;Studies published before 2018;1/5/2003;31/12/2010;69;1.3854;1.06721;234;1.68609;1.26483
Lee et al. 2021;2021;Korea;Single-center studies;Studies with patient matching;8;Low Risk of Bias;Studies published after 2018;1/6/2003;30/4/2017;67;1.37788;0.5274;67;2.00569;0.61257
Lucas et al. 2012;2012;USA;Single-center studies;Studies with patient matching;7;Moderate Risk of Bias;Studies published before 2018;1/1/2004;31/12/2010;27;0.55501;0.40871;54;1.87476;1.60517
Luciani et al. 2017;2017;Italy;Single-center studies;Studies with patient matching;6;Serious Risk of Bias;Studies published before 2018;1/1/2005;30/6/2016;110;1.24727;1.31132;73;2.20885;2.61187
Malkoc et al. 2017;2017;USA;Single-center studies;Studies without patient matching;7;Serious Risk of Bias;Studies published before 2018;1/1/2009;30/11/2015;54;1.17815;1.27817;56;1.4291;0.90079
Masoumi-Ravandi et al. 2024;2024;Canada;Single-center studies;Studies without patient matching;6;Serious Risk of Bias;Studies published after 2018;1/2/2015;31/7/2021;82;2.43367;3.7821;106;2.7063;5.74696
Masson-Lecomte et al. 2013;2013;France;Single-center studies;Studies without patient matching;7;Moderate Risk of Bias;Studies published before 2018;1/1/2008;31/12/2010;42;1.13264;1.69857;58;3.72272;3.12453
Mearini et al. 2016;2016;Italy;Single-center studies;Studies without patient matching;6;Serious Risk of Bias;Studies published before 2018;1/1/2006;31/12/2015;31;2.38453;2.65126;80;4.20604;5.28453
Minervini et al. 2013;2013;Italy;Multicenter studies;Studies without patient matching;8;Moderate Risk of Bias;Studies published before 2018;1/1/2010;31/12/2011;104;0.75941;0.67536;198;2.09783;1.81237
Motoyama et al. 2019;2019;Japan;Single-center studies;Studies with patient matching;7;Low Risk of Bias;Studies published after 2018;1/7/2010;31/8/2017;37;0.20828;0.71148;37;1.85028;4.12587
Oh et al. 2014;2014;Korea;Single-center studies;Studies with patient matching;8;Low Risk of Bias;Studies published before 2018;1/5/2003;31/5/2013;100;1.40412;1.02796;100;1.80315;1.24603
Porpiglia et al. 2016;2016;Italy;Multicenter studies;Studies without patient matching;9;Low Risk of Bias;Studies published before 2018;1/1/2009;31/12/2013;95;1.09635;0.59479;133;1.64286;1.2019
Saoud et al. 2017;2017;Lebanon;Single-center studies;Studies without patient matching;5;Serious Risk of Bias;Studies published before 2018;1/7/2013;31/7/2015;15;0.8918;0.69296;19;1.37102;0.82704
Sawada et al. 2021;2021;Japan;Single-center studies;Studies with patient matching;7;Low Risk of Bias;Studies published after 2018;1/1/2005;31/12/2020;58;0.04048;0.17245;58;0.71511;0.68354
Soisrithong et al. 2021;2021;Thailand;Single-center studies;Studies without patient matching;7;Serious Risk of Bias;Studies published after 2018;1/1/2009;31/12/2018;41;1.37639;0.85626;18;4.12572;3.31936
Tachibana et al. 2020;2020;Japan;Multicenter studies;Studies with patient matching;8;Low Risk of Bias;Studies published after 2018;1/1/2004;31/12/2018;411;0.54842;0.96493;411;0.91051;1.35728
Takagi et al. 2016;2016;Japan;Single-center studies;Studies with patient matching;7;Low Risk of Bias;Studies published before 2018;1/1/2012;31/12/2014;48;0.29888;0.46937;48;0.92322;1.05327
Takahara et al. 2022;2022;Japan;Single-center studies;Studies with patient matching;7;Low Risk of Bias;Studies published after 2018;1/8/2007;30/9/2017;39;0.30205;1.70856;39;1.16111;1.62382
Tan et al. 2018;2018;Australia;Single-center studies;Studies without patient matching;8;Moderate Risk of Bias;Studies published after 2018;1/1/2010;31/12/2016;145;0.36256;0.76512;55;5.72411;2.59467
Vittori et al. 2014;2014;Italy;Multicenter studies;Studies without patient matching;9;Low Risk of Bias;Studies published before 2018;1/1/2010;31/12/2011;105;0.82714;0.80165;198;2.09547;1.80994
Wu et al. 2014;2014;China;Single-center studies;Studies with patient matching;8;Low Risk of Bias;Studies published before 2018;1/1/2009;31/12/2013;51;0.45578;0.33598;94;1.16895;0.81014
Yu et al. 2019;2019;Korea;Single-center studies;Studies with patient matching;7;Moderate Risk of Bias;Studies published after 2018;1/2/2004;30/4/2017;303;1.03527;1.0122;303;1.23015;0.90503
Zeuschner et al. 2021;2021;Germany;Single-center studies;Studies with patient matching;6;Moderate Risk of Bias;Studies published after 2018;1/1/2007;31/12/2018;500;1.61276;4.19191;313;3.17361;5.63064
