study;year;center;matching;stars;post2015;nexp;mexp;sexp;nctrl;mctrl;sctrl;r
Saoud et al 2017;2017;Single Center Studies;Studies without matching;5;Studies after 2015;15;0,853;0,645;19;1,329;0,759;0,2
Soisrithong et al 2021;2021;Single Center Studies;Studies without matching;7;Studies after 2015;70;1,372;1,155;42;3,169;2,942;0,2
Tan et al 2018;2018;Single Center Studies;Studies without matching;8;Studies after 2015;145;0,326;0,748;55;5,594;2,325;0,2
Vittori et al 2014;2014;Multicenter Studies;Studies without matching;9;Studies before 2015;105;0,776;0,753;198;1,98;1,687;0,2
Alemozaffar et al 2013;2013;Single Center Studies;Studies without matching;7;Studies before 2015;25;0,762;0,87;25;1,375;0,824;0,2
;;;;;;;;;;;;
;;;;;;;;;;;;
Abedali et al 2020;2020;Single Center Studies;Studies with matching;8;Studies after 2015;148;0,927;0,88;74;1,721;1,344;0,3
Banapour et al 2018;2018;Single Center Studies;Studies with matching;6;Studies after 2015;163;0,59;0,602;176;1,245;1,304;0,3
Bravi et al 2019;2019;Multicenter Studies;Studies without matching;9;Studies after 2015;789;0,67;0,707;682;1,701;1,173;0,3
Garisto et al 2018;2018;Single Center Studies;Studies without matching;6;Studies after 2015;203;0,977;0,851;76;1,407;0,993;0,3
Ghali et al 2019;2019;Single Center Studies;Studies without matching;6;Studies after 2015;59;0,571;0,3;91;0,922;0,563;0,3
Kim et al 2019;2019;Single Center Studies;Studies without matching;7;Studies after 2015;85;1,424;0,97;64;1,464;1;0,3
Klaassen et al 2014;2014;Single Center Studies;Studies without matching;6;Studies before 2015;35;0,774;0,678;23;2,242;1,674;0,3
Lucas et al 2012;2012;Single Center Studies;Studies with matching;7;Studies before 2015;27;0,528;0,372;54;1,731;1,445;0,3
Malkoc et al 2017;2017;Single Center Studies;Studies without matching;7;Studies after 2015;54;1,069;1,182;56;1,354;0,785;0,3
Mearini et al 2016;2016;Single Center Studies;Studies without matching;6;Studies after 2015;31;2,169;2,465;80;3,857;5,013;0,3
Motoyama et al 2019;2019;Single Center Studies;Studies with matching;6;Studies after 2015;37;0,161;0,698;37;1,506;3,98;0,3
Oh et al 2014;2014;Single Center Studies;Studies with matching;8;Studies before 2015;100;1,283;0,881;100;1,703;1,104;0,3
Wang et al 2016;2016;Multicenter Studies;Studies with matching;8;Studies after 2015;190;1,453;0,494;190;1,712;0,568;0,3
Wu et al 2014;2014;Single Center Studies;Studies with matching;8;Studies before 2015;51;0,436;0,309;94;1,111;0,728;0,3
Sawada et al 2021;2021;Single Center Studies;Studies with matching;7;Studies after 2015;58;0,03;0,17;58;0,676;0,643;0,3
Boylu et al 2015;2015;Single Center Studies;Studies without matching;7;Studies after 2015;46;1,166;1,288;20;2,735;1,27;0,3
Chang et al 2018;2018;Multicenter Studies;Studies with matching;8;Studies after 2015;122;0,958;0,775;122;1,274;0,775;0,3
Kowalewski et al 2021;2021;Single Center Studies;Studies with matching;8;Studies after 2015;83;2,15;4,705;166;2,133;2,315;0,3
Luciani et al 2017;2017;Single Center Studies;Studies with matching;6;Studies after 2015;110;1,15;1,222;73;1,906;2,382;0,3
Porpiglia et al 2016;2016;Multicenter Studies;Studies without matching;9;Studies after 2015;95;1,043;0,501;133;1,534;1,059;0,3
Minervini et al 2013;2013;Multicenter Studies;Studies without matching;9;Studies before 2015;104;0,697;0,609;198;1,921;1,62;0,3
Saoud et al 2017;2017;Single Center Studies;Studies without matching;5;Studies after 2015;15;0,834;0,62;19;1,307;0,722;0,3
Soisrithong et al 2021;2021;Single Center Studies;Studies without matching;7;Studies after 2015;70;1,348;1,127;42;3,063;2,832;0,3
Tan et al 2018;2018;Single Center Studies;Studies without matching;8;Studies after 2015;145;0,307;0,74;55;5,528;2,176;0,3
Vittori et al 2014;2014;Multicenter Studies;Studies without matching;9;Studies before 2015;105;0,751;0,727;198;1,921;1,62;0,3
Alemozaffar et al 2013;2013;Single Center Studies;Studies without matching;7;Studies before 2015;25;0,745;0,855;25;1,339;0,772;0,3
;;;;;;;;;;;;
;;;;;;;;;;;;
Abedali et al 2020;2020;Single Center Studies;Studies with matching;8;Studies after 2015;148;0,9;0,851;74;1,674;1,283;0,4
Banapour et al 2018;2018;Single Center Studies;Studies with matching;6;Studies after 2015;163;0,577;0,588;176;1,195;1,256;0,4
Bravi et al 2019;2019;Multicenter Studies;Studies without matching;9;Studies after 2015;789;0,644;0,682;682;1,66;1,115;0,4
Garisto et al 2018;2018;Single Center Studies;Studies without matching;6;Studies after 2015;203;0,948;0,817;76;1,383;0,959;0,4
Ghali et al 2019;2019;Single Center Studies;Studies without matching;6;Studies after 2015;59;0,562;0,282;91;0,907;0,538;0,4
Kim et al 2019;2019;Single Center Studies;Studies without matching;7;Studies after 2015;85;1,385;0,915;64;1,425;0,944;0,4
Klaassen et al 2014;2014;Single Center Studies;Studies without matching;6;Studies before 2015;35;0,758;0,66;23;2,205;1,623;0,4
Lucas et al 2012;2012;Single Center Studies;Studies with matching;7;Studies before 2015;27;0,519;0,359;54;1,683;1,387;0,4
Malkoc et al 2017;2017;Single Center Studies;Studies without matching;7;Studies after 2015;54;1,033;1,148;56;1,329;0,742;0,4
Mearini et al 2016;2016;Single Center Studies;Studies without matching;6;Studies after 2015;31;2,096;2,398;80;3,741;4,919;0,4
Motoyama et al 2019;2019;Single Center Studies;Studies with matching;6;Studies after 2015;37;0,145;0,694;37;1,392;3,931;0,4
Oh et al 2014;2014;Single Center Studies;Studies with matching;8;Studies before 2015;100;1,242;0,826;100;1,669;1,052;0,4
Wang et al 2016;2016;Multicenter Studies;Studies with matching;8;Studies after 2015;190;1,44;0,458;190;1,698;0,526;0,4
Wu et al 2014;2014;Single Center Studies;Studies with matching;8;Studies before 2015;51;0,429;0,299;94;1,092;0,698;0,4
Sawada et al 2021;2021;Single Center Studies;Studies with matching;7;Studies after 2015;58;0,026;0,169;58;0,664;0,629;0,4
Boylu et al 2015;2015;Single Center Studies;Studies without matching;7;Studies after 2015;46;1,131;1,256;20;2,719;1,235;0,4
Chang et al 2018;2018;Multicenter Studies;Studies with matching;8;Studies after 2015;122;0,928;0,739;122;1,245;0,729;0,4
Kowalewski et al 2021;2021;Single Center Studies;Studies with matching;8;Studies after 2015;83;2,018;4,638;166;2,056;2,242;0,4
Luciani et al 2017;2017;Single Center Studies;Studies with matching;6;Studies after 2015;110;1,118;1,19;73;1,804;2,299;0,4
Porpiglia et al 2016;2016;Multicenter Studies;Studies without matching;9;Studies after 2015;95;1,026;0,466;133;1,498;1,007;0,4
Minervini et al 2013;2013;Multicenter Studies;Studies without matching;9;Studies before 2015;104;0,676;0,584;198;1,862;1,55;0,4
Saoud et al 2017;2017;Single Center Studies;Studies without matching;5;Studies after 2015;15;0,815;0,595;19;1,285;0,684;0,4
Soisrithong et al 2021;2021;Single Center Studies;Studies without matching;7;Studies after 2015;70;1,324;1,098;42;2,958;2,718;0,4
Tan et al 2018;2018;Single Center Studies;Studies without matching;8;Studies after 2015;145;0,288;0,731;55;5,462;2,015;0,4
Vittori et al 2014;2014;Multicenter Studies;Studies without matching;9;Studies before 2015;105;0,725;0,701;198;1,862;1,55;0,4
Alemozaffar et al 2013;2013;Single Center Studies;Studies without matching;7;Studies before 2015;25;0,728;0,84;25;1,303;0,717;0,4
;;;;;;;;;;;;
;;;;;;;;;;;;
Abedali et al 2020;2020;Single Center Studies;Studies with matching;8;Studies after 2015;148;0,874;0,822;74;1,626;1,22;0,5
Banapour et al 2018;2018;Single Center Studies;Studies with matching;6;Studies after 2015;163;0,563;0,574;176;1,145;1,206;0,5
Bravi et al 2019;2019;Multicenter Studies;Studies without matching;9;Studies after 2015;789;0,618;0,657;682;1,619;1,053;0,5
Garisto et al 2018;2018;Single Center Studies;Studies without matching;6;Studies after 2015;203;0,919;0,782;76;1,36;0,923;0,5
Ghali et al 2019;2019;Single Center Studies;Studies without matching;6;Studies after 2015;59;0,552;0,264;91;0,891;0,511;0,5
Kim et al 2019;2019;Single Center Studies;Studies without matching;7;Studies after 2015;85;1,346;0,856;64;1,386;0,885;0,5
Klaassen et al 2014;2014;Single Center Studies;Studies without matching;6;Studies before 2015;35;0,743;0,641;23;2,167;1,57;0,5
Lucas et al 2012;2012;Single Center Studies;Studies with matching;7;Studies before 2015;27;0,51;0,345;54;1,634;1,326;0,5
Malkoc et al 2017;2017;Single Center Studies;Studies without matching;7;Studies after 2015;54;0,996;1,113;56;1,304;0,697;0,5
Mearini et al 2016;2016;Single Center Studies;Studies without matching;6;Studies after 2015;31;2,023;2,33;80;3,625;4,824;0,5
Motoyama et al 2019;2019;Single Center Studies;Studies with matching;6;Studies after 2015;37;0,13;0,689;37;1,279;3,881;0,5
Oh et al 2014;2014;Single Center Studies;Studies with matching;8;Studies before 2015;100;1,202;0,767;100;1,636;0,998;0,5
Wang et al 2016;2016;Multicenter Studies;Studies with matching;8;Studies after 2015;190;1,428;0,419;190;1,683;0,481;0,5
Wu et al 2014;2014;Single Center Studies;Studies with matching;8;Studies before 2015;51;0,422;0,289;94;1,073;0,667;0,5
Sawada et al 2021;2021;Single Center Studies;Studies with matching;7;Studies after 2015;58;0,022;0,168;58;0,651;0,615;0,5
Boylu et al 2015;2015;Single Center Studies;Studies without matching;7;Studies after 2015;46;1,097;1,222;20;2,703;1,2;0,5
Chang et al 2018;2018;Multicenter Studies;Studies with matching;8;Studies after 2015;122;0,897;0,7;122;1,216;0,68;0,5
Kowalewski et al 2021;2021;Single Center Studies;Studies with matching;8;Studies after 2015;83;1,886;4,57;166;1,979;2,167;0,5
Luciani et al 2017;2017;Single Center Studies;Studies with matching;6;Studies after 2015;110;1,086;1,158;73;1,703;2,214;0,5
Porpiglia et al 2016;2016;Multicenter Studies;Studies without matching;9;Studies after 2015;95;1,009;0,429;133;1,461;0,952;0,5
Minervini et al 2013;2013;Multicenter Studies;Studies without matching;9;Studies before 2015;104;0,654;0,559;198;1,803;1,477;0,5
Saoud et al 2017;2017;Single Center Studies;Studies without matching;5;Studies after 2015;15;0,796;0,568;19;1,264;0,642;0,5
Soisrithong et al 2021;2021;Single Center Studies;Studies without matching;7;Studies after 2015;70;1,3;1,068;42;2,853;2,599;0,5
Tan et al 2018;2018;Single Center Studies;Studies without matching;8;Studies after 2015;145;0,269;0,722;55;5,396;1,84;0,5
Vittori et al 2014;2014;Multicenter Studies;Studies without matching;9;Studies before 2015;105;0,7;0,673;198;1,803;1,477;0,5
Alemozaffar et al 2013;2013;Single Center Studies;Studies without matching;7;Studies before 2015;25;0,711;0,824;25;1,267;0,657;0,5
;;;;;;;;;;;;
;;;;;;;;;;;;
Abedali et al 2020;2020;Single Center Studies;Studies with matching;8;Studies after 2015;148;0,847;0,791;74;1,579;1,153;0,6
Banapour et al 2018;2018;Single Center Studies;Studies with matching;6;Studies after 2015;163;0,549;0,559;176;1,094;1,153;0,6
Bravi et al 2019;2019;Multicenter Studies;Studies without matching;9;Studies after 2015;789;0,593;0,63;682;1,579;0,988;0,6
Garisto et al 2018;2018;Single Center Studies;Studies without matching;6;Studies after 2015;203;0,89;0,745;76;1,336;0,886;0,6
Ghali et al 2019;2019;Single Center Studies;Studies without matching;6;Studies after 2015;59;0,543;0,243;91;0,876;0,482;0,6
Kim et al 2019;2019;Single Center Studies;Studies without matching;7;Studies after 2015;85;1,307;0,793;64;1,347;0,822;0,6
Klaassen et al 2014;2014;Single Center Studies;Studies without matching;6;Studies before 2015;35;0,727;0,622;23;2,129;1,515;0,6
Lucas et al 2012;2012;Single Center Studies;Studies with matching;7;Studies before 2015;27;0,5;0,331;54;1,585;1,261;0,6
Malkoc et al 2017;2017;Single Center Studies;Studies without matching;7;Studies after 2015;54;0,96;1,078;56;1,279;0,648;0,6
Mearini et al 2016;2016;Single Center Studies;Studies without matching;6;Studies after 2015;31;1,95;2,26;80;3,509;4,726;0,6
Motoyama et al 2019;2019;Single Center Studies;Studies with matching;6;Studies after 2015;37;0,114;0,685;37;1,166;3,831;0,6
Oh et al 2014;2014;Single Center Studies;Studies with matching;8;Studies before 2015;100;1,162;0,703;100;1,603;0,941;0,6
Wang et al 2016;2016;Multicenter Studies;Studies with matching;8;Studies after 2015;190;1,416;0,377;190;1,669;0,43;0,6
Wu et al 2014;2014;Single Center Studies;Studies with matching;8;Studies before 2015;51;0,415;0,278;94;1,054;0,635;0,6
Sawada et al 2021;2021;Single Center Studies;Studies with matching;7;Studies after 2015;58;0,019;0,167;58;0,638;0,601;0,6
Boylu et al 2015;2015;Single Center Studies;Studies without matching;7;Studies after 2015;46;1,062;1,188;20;2,687;1,163;0,6
Chang et al 2018;2018;Multicenter Studies;Studies with matching;8;Studies after 2015;122;0,867;0,659;122;1,187;0,627;0,6
Kowalewski et al 2021;2021;Single Center Studies;Studies with matching;8;Studies after 2015;83;1,754;4,502;166;1,902;2,089;0,6
Luciani et al 2017;2017;Single Center Studies;Studies with matching;6;Studies after 2015;110;1,053;1,125;73;1,601;2,125;0,6
Porpiglia et al 2016;2016;Multicenter Studies;Studies without matching;9;Studies after 2015;95;0,991;0,388;133;1,425;0,894;0,6
Minervini et al 2013;2013;Multicenter Studies;Studies without matching;9;Studies before 2015;104;0,633;0,532;198;1,744;1,4;0,6
Saoud et al 2017;2017;Single Center Studies;Studies without matching;5;Studies after 2015;15;0,777;0,54;19;1,242;0,598;0,6
Soisrithong et al 2021;2021;Single Center Studies;Studies without matching;7;Studies after 2015;70;1,276;1,037;42;2,747;2,475;0,6
Tan et al 2018;2018;Single Center Studies;Studies without matching;8;Studies after 2015;145;0,251;0,713;55;5,33;1,646;0,6
Vittori et al 2014;2014;Multicenter Studies;Studies without matching;9;Studies before 2015;105;0,674;0,644;198;1,744;1,4;0,6
Alemozaffar et al 2013;2013;Single Center Studies;Studies without matching;7;Studies before 2015;25;0,694;0,808;25;1,232;0,59;0,6
;;;;;;;;;;;;
;;;;;;;;;;;;
Abedali et al 2020;2020;Single Center Studies;Studies with matching;8;Studies after 2015;148;0,82;0,759;74;1,531;1,082;0,7
Banapour et al 2018;2018;Single Center Studies;Studies with matching;6;Studies after 2015;163;0,535;0,544;176;1,044;1,098;0,7
Bravi et al 2019;2019;Multicenter Studies;Studies without matching;9;Studies after 2015;789;0,567;0,602;682;1,538;0,918;0,7
Garisto et al 2018;2018;Single Center Studies;Studies without matching;6;Studies after 2015;203;0,861;0,707;76;1,312;0,847;0,7
Ghali et al 2019;2019;Single Center Studies;Studies without matching;6;Studies after 2015;59;0,533;0,221;91;0,86;0,452;0,7
Kim et al 2019;2019;Single Center Studies;Studies without matching;7;Studies after 2015;85;1,268;0,724;64;1,308;0,753;0,7
Klaassen et al 2014;2014;Single Center Studies;Studies without matching;6;Studies before 2015;35;0,712;0,602;23;2,092;1,458;0,7
Lucas et al 2012;2012;Single Center Studies;Studies with matching;7;Studies before 2015;27;0,491;0,316;54;1,536;1,194;0,7
Malkoc et al 2017;2017;Single Center Studies;Studies without matching;7;Studies after 2015;54;0,924;1,041;56;1,254;0,596;0,7
Mearini et al 2016;2016;Single Center Studies;Studies without matching;6;Studies after 2015;31;1,877;2,187;80;3,392;4,627;0,7
Motoyama et al 2019;2019;Single Center Studies;Studies with matching;6;Studies after 2015;37;0,098;0,68;37;1,053;3,78;0,7
Oh et al 2014;2014;Single Center Studies;Studies with matching;8;Studies before 2015;100;1,121;0,633;100;1,569;0,88;0,7
Wang et al 2016;2016;Multicenter Studies;Studies with matching;8;Studies after 2015;190;1,404;0,329;190;1,655;0,373;0,7
Wu et al 2014;2014;Single Center Studies;Studies with matching;8;Studies before 2015;51;0,408;0,267;94;1,034;0,601;0,7
Sawada et al 2021;2021;Single Center Studies;Studies with matching;7;Studies after 2015;58;0,015;0,167;58;0,625;0,586;0,7
Boylu et al 2015;2015;Single Center Studies;Studies without matching;7;Studies after 2015;46;1,027;1,153;20;2,672;1,126;0,7
Chang et al 2018;2018;Multicenter Studies;Studies with matching;8;Studies after 2015;122;0,837;0,615;122;1,158;0,568;0,7
Kowalewski et al 2021;2021;Single Center Studies;Studies with matching;8;Studies after 2015;83;1,623;4,432;166;1,825;2,008;0,7
Luciani et al 2017;2017;Single Center Studies;Studies with matching;6;Studies after 2015;110;1,021;1,09;73;1,499;2,033;0,7
Porpiglia et al 2016;2016;Multicenter Studies;Studies without matching;9;Studies after 2015;95;0,974;0,342;133;1,389;0,832;0,7
Minervini et al 2013;2013;Multicenter Studies;Studies without matching;9;Studies before 2015;104;0,612;0,504;198;1,685;1,319;0,7
Saoud et al 2017;2017;Single Center Studies;Studies without matching;5;Studies after 2015;15;0,758;0,511;19;1,22;0,55;0,7
Soisrithong et al 2021;2021;Single Center Studies;Studies without matching;7;Studies after 2015;70;1,253;1,005;42;2,642;2,344;0,7
Tan et al 2018;2018;Single Center Studies;Studies without matching;8;Studies after 2015;145;0,232;0,704;55;5,264;1,426;0,7
Vittori et al 2014;2014;Multicenter Studies;Studies without matching;9;Studies before 2015;105;0,649;0,614;198;1,685;1,319;0,7
Alemozaffar et al 2013;2013;Single Center Studies;Studies without matching;7;Studies before 2015;25;0,677;0,792;25;1,196;0,516;0,7
;;;;;;;;;;;;
;;;;;;;;;;;;
Abedali et al 2020;2020;Single Center Studies;Studies with matching;8;Studies after 2015;148;0,794;0,726;74;1,484;1,006;0,8
Banapour et al 2018;2018;Single Center Studies;Studies with matching;6;Studies after 2015;163;0,522;0,529;176;0,994;1,041;0,8
Bravi et al 2019;2019;Multicenter Studies;Studies without matching;9;Studies after 2015;789;0,541;0,573;682;1,498;0,843;0,8
Garisto et al 2018;2018;Single Center Studies;Studies without matching;6;Studies after 2015;203;0,831;0,666;76;1,288;0,807;0,8
Ghali et al 2019;2019;Single Center Studies;Studies without matching;6;Studies after 2015;59;0,524;0,196;91;0,844;0,419;0,8
Kim et al 2019;2019;Single Center Studies;Studies without matching;7;Studies after 2015;85;1,229;0,648;64;1,269;0,678;0,8
Klaassen et al 2014;2014;Single Center Studies;Studies without matching;6;Studies before 2015;35;0,697;0,582;23;2,054;1,398;0,8
Lucas et al 2012;2012;Single Center Studies;Studies with matching;7;Studies before 2015;27;0,482;0,301;54;1,488;1,122;0,8
Malkoc et al 2017;2017;Single Center Studies;Studies without matching;7;Studies after 2015;54;0,888;1,002;56;1,229;0,539;0,8
Mearini et al 2016;2016;Single Center Studies;Studies without matching;6;Studies after 2015;31;1,804;2,112;80;3,276;4,525;0,8
Motoyama et al 2019;2019;Single Center Studies;Studies with matching;6;Studies after 2015;37;0,082;0,675;37;0,94;3,728;0,8
Oh et al 2014;2014;Single Center Studies;Studies with matching;8;Studies before 2015;100;1,081;0,554;100;1,536;0,815;0,8
